"country","age_0","age_10","age_20","age_30","age_40","age_50","age_60","age_70","age_80","total"
"Alabama_US",591103,625108,659935,603025,598853,650785,589160,367780,188315,4874064
"Algeria",9678000,6731000,6574000,7276000,5449000,3800000,2530000,1238000,576000,43852000
"Argentina",7447000,7136000,6997000,6441000,5728000,4425000,3529000,2300000,1192000,45195000
"Arizona_US",887662,948902,999698,920961,851899,860460,813916,575927,292594,7152019
"Austria",874000,876000,1116000,1243000,1179000,1407000,1033000,790000,487000,9005000
"Bangladesh",28972000,30674000,29765000,26512000,20651000,15006000,7296000,4096000,1716000,164688000
"Belgium",1303000,1312000,1386000,1504000,1519000,1598000,1370000,940000,659000,11591000
"Brazil",29077000,31160000,34105000,34477000,29462000,24421000,16897000,8801000,4159000,212559000
"British Columbia_Canada",457525,492840,590560,607340,617410,709300,611615,347010,214450,4648050
"California_US",4930202,5079356,5748991,5632244,5057370,5021413,4115485,2409030,1406893,39400984
"Canada",3971000,3971000,5096000,5278000,4846000,5182000,4713000,3019000,1666000,37742000
"Chile",2428000,2494000,2996000,2946000,2578000,2353000,1791000,993000,537000,19116000
"Colombia",7414000,8119000,8847000,7810000,6451000,5544000,3771000,1980000,946000,50882000
"Colorado_US",684807,727305,812279,845103,728984,709497,631394,346828,173324,5659521
"Connecticut_US",379145,459152,462549,438327,439779,529348,432655,260636,164165,3565756
"Czechia",1114000,1062000,1105000,1478000,1798000,1351000,1325000,1031000,444000,10708000
"Denmark",606000,676000,776000,672000,738000,810000,655000,586000,272000,5791000
"Dominican_Republic",2e+06,1936000,1855000,1565000,1274000,1014000,683000,341000,181000,10849000
"Ecuador",3278000,3116000,3037000,2593000,2088000,1591000,1088000,570000,283000,17644000
"Egypt",25028000,18385000,16512000,15198000,10949000,7845000,5122000,2531000,764000,102334000
"Florida_US",2300770,2409281,2671637,2648634,2594353,2864081,2655877,1959208,1126983,21230824
"France",7527000,7884000,7371000,8012000,8325000,8635000,7765000,5728000,4027000,65274000
"Georgia_US",1343318,1446235,1453031,1394818,1380473,1374552,1104285,654183,305250,10456145
"Germany",7881000,7931000,9377000,10872000,10244000,13488000,10644000,7472000,5875000,83784000
"Hubei_China",5441113,7329432,9604130,8775981,10724955,7388158,4695418,2471871,806669,57237727
"Hungary",908000,969000,1152000,1257000,1589000,1201000,1306000,847000,432000,9661000
"Illinois_US",1538721,1640037,1738672,1715110,1601056,1689217,1447160,841100,502287,12713360
"India",234862000,252202000,239902000,215636000,169660000,128132000,87151000,39175000,13284000,1380004000
"Indiana_US",848650,904234,929433,843166,814693,871478,772887,450969,253527,6689037
"Indonesia",47956000,46303000,43571000,41166000,37847000,29155000,17531000,7575000,2419000,273523000
"Iran",14566000,11748000,12343000,16740000,11655000,8295000,5397000,2355000,895000,83994000
"Ireland",672000,669000,568000,696000,764000,601000,481000,331000,158000,4940000
"Israel",1671000,1405000,1197000,1123000,1041000,796000,704000,460000,261000,8658000
"Italy",4995000,5733000,6104000,6999000,9022000,9567000,7485000,6029000,4529000,60463000
"Japan",10179000,11268000,12147000,14456000,18473000,16542000,15875000,16185000,11352000,126477000
"Kansas_US",386956,399637,395695,371296,330923,360294,331992,191006,120973,2888772
"Kentucky_US",552138,572287,602871,553065,552541,598697,534517,321045,164522,4451683
"Louisiana_US",608586,602883,645161,631908,543251,599903,536809,311695,163853,4644049
"Maryland_US",734948,759486,782252,811380,756406,852444,687660,401024,222834,6008434
"Massachusetts_US",730171,844473,1000012,923139,843585,970041,813941,479916,291934,6897212
"Mexico",22170000,22351000,21736000,18880000,16548000,12758000,8264000,4189000,2038000,128934000
"Michigan_US",1158811,1273131,1387937,1200241,1192692,1376266,1258481,734848,409800,9992207
"Minnesota_US",715725,728456,736100,767098,662964,749374,654004,368852,226468,5609041
"Mississippi_US",378444,411891,409280,370913,357977,382848,344603,208582,108482,2973020
"Missouri_US",750660,779124,827477,786755,718648,811770,731756,446028,255427,6107645
"Morocco",6753000,6098000,5883000,5607000,4452000,3744000,2735000,1197000,442000,36911000
"Netherlands",1753000,1954000,2098000,2097000,2152000,2524000,2130000,1591000,837000,17136000
"Nevada_US",377602,377938,403997,424637,393039,387890,342707,221037,94717,3023564
"New Jersey_US",1052190,1115800,1130033,1150941,1159030,1280079,1024468,611817,374794,8899152
"New York_US",2259768,2304896,2774154,2659229,2396402,2673358,2252986,1351628,844843,19517264
"North Carolina_US",1238222,1340780,1368439,1299541,1327227,1375672,1207014,751106,378136,10286137
"Norway",615000,643000,726000,739000,725000,712000,586000,447000,229000,5422000
"Ohio_US",1402937,1499595,1562536,1459007,1398006,1573439,1445145,845187,494828,11680680
"Oklahoma_US",528226,531609,544327,518688,459701,482812,437840,272154,147972,3923329
"Ontario_Canada",1453445,1566200,1768740,1707250,1809260,2045805,1583890,921655,592260,13448505
"Oregon_US",476789,496000,567615,587041,529259,518316,527724,322750,162673,4188167
"Pakistan",53462000,45428000,39930000,30816000,21249000,15123000,8902000,4559000,1424000,220893000
"Pennsylvania_US",1428611,1565503,1684130,1610570,1511717,1776554,1625904,980190,617542,12800721
"Peru",5445000,5135000,5376000,5231000,4347000,3314000,2276000,1255000,592000,32971000
"Philippines",22014000,21370000,19584000,15502000,12311000,9367000,5879000,2639000,915000,109581000
"Poland",3785000,3710000,4432000,6005000,5536000,4563000,5174000,2901000,1743000,37849000
"Portugal",841000,1015000,1074000,1215000,1575000,1481000,1294000,1018000,682000,10195000
"Quebec_Canada",897086,866061,1066598,1115805,1087073,1207213,1124019,722944,398166,8484965
"Rhode Island_US",109253,129931,151353,133600,124233,150074,129908,75611,48918,1052881
"Romania",1905000,2076000,2086000,2586000,3026000,2569000,2536000,1530000,924000,19238000
"Russia",18623000,15256000,15608000,24469000,20376000,18898000,18502000,8549000,5655000,145936000
"Serbia",856000,1e+06,1102000,1215000,1230000,1122000,1143000,730000,340000,8738000
"South Carolina_US",598646,634740,665907,626981,612605,670639,635815,410826,186810,5042969
"South Korea_South Korea",4154000,4753000,6716000,7079000,8219000,8477000,6454000,3561000,1856000,51269000
"South_Africa",11586000,10409000,10141000,10155000,7043000,4911000,3165000,1476000,421000,59307000
"Spain",4234000,4736000,4618000,5902000,7939000,7046000,5340000,4015000,2923000,46753000
"Sweden",1194000,1127000,1277000,1320000,1264000,1296000,1094000,994000,532000,10098000
"Switzerland",885000,835000,1040000,1220000,1167000,1321000,978000,752000,459000,8657000
"Tennessee_US",818914,854551,926876,865593,847967,896115,796549,496017,246760,6749342
"Texas_US",4071873,4112396,4098983,4076887,3686825,3416874,2747795,1567390,808475,28587498
"Turkey",13419000,13595000,13174000,12775000,11447000,8908000,6192000,3353000,1474000,84337000
"Ukraine",4590000,4384000,4898000,7209000,6406000,5907000,5540000,2983000,1816000,43733000
"United_Kingdom",8044000,7642000,8559000,9295000,8604000,9174000,7287000,5830000,3452000,67887000
"Virginia_US",1025381,1065267,1130579,1126569,1067067,1147630,956568,581429,301170,8401660
"Washington_US",929617,908056,1041158,1084327,936565,950252,870869,505211,257332,7483387
"Wisconsin_US",684181,747542,769541,733442,684686,810815,724001,411562,244730,5810500
